2018-08-11 19:20:36,508 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@29cb0070: startup date [Sat Aug 11 19:20:36 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2018-08-11 19:20:37,406 | INFO  | PListStore:[C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2018-08-11 19:20:37,425 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 19:20:37,637 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:DESKTOP-9EPRQCJ-56432-1533986437501-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 19:20:37,659 | INFO  | Listening for connections at: tcp://DESKTOP-9EPRQCJ:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 19:20:37,660 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 19:20:37,666 | INFO  | Listening for connections at: amqp://DESKTOP-9EPRQCJ:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 19:20:37,667 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 19:20:37,674 | INFO  | Listening for connections at: stomp://DESKTOP-9EPRQCJ:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 19:20:37,675 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 19:20:37,682 | INFO  | Listening for connections at: mqtt://DESKTOP-9EPRQCJ:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
